id,title,description,price,url,avg_review,image,company,tags,category,github_link,require_license,updated_at,created_at
1655,Magento 2 DevOps CI/CD Docker Integration,Magento 2 DevOps CI/CD Docker Integration: Magento 2 DevOps integration is ess...,799.00,https://store.webkul.com/Magento2-DevOps-CICD-Docker-Jenkins.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/d/e/devops-ci-cd-docker-integration.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1656,Magento 2 Print on demand Marketplace,Magento 2 Print on demand Marketplace: With the help of this marketplace add-o...,99.00,https://store.webkul.com/magento2-print-on-demand-marketplace.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/marketplace-web-to-print.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1657,Product Attachment for Magento 2,Product Attachment for Magento 2: The module is equipped with product pages wi...,79.00,https://store.webkul.com/magento2-product-attachment.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/p/r/product-attachment.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1658,Shopping List for Magento 2,Shopping List for Magento 2: To proceed towards an accurate and precise way of...,99.00,https://store.webkul.com/magento2-shopping-list.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/s/h/shopping-list-for-magento-2.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1659,SalesforceIQ Connector For Magento 2,SalesforceIQ Connector For Magento 2 : This impressive extension integrates Ma...,199.00,https://store.webkul.com/SalesforceIQ-Connector-For-Magento2.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/s/a/salesforceiq-connector_1.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1660,Web Application Firewall for Magento 2,"Web Application Firewall for Magento 2: With the help of this module, the stor...",199.00,https://store.webkul.com/magento2-web-application-firewall.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/w/e/webapplication-firewall.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1661,Magic Slideshow for Magento 2,Magic Slideshow For Magento 2:Magic Slideshow allows you to display multiple i...,null,https://store.webkul.com/Magic-Slideshow-Magento2.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/magic-slideshow_1.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1662,Mangopay Payment Gateway for Magento 2,Mangopay Payment Gateway for Magento 2: Mangopay Payment Gateway for Magento 2...,99.00,https://store.webkul.com/MangoPay-Payment-Gateway-For-Magento2.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/marketplace-mangopay-payment-gateway_3.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1663,Magento 2 Connect,Magento 2 Connect: Using the Magento 2 Connect you will be able to create sale...,199.00,https://store.webkul.com/magento2-qbo-connect.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/magento2-connect-module_copy_1.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1664,Magento 2 FedEx Shipping Marketplace Add-On,Marketplace FedEx Shipping For Magento2 : Marketplace FedEx Shipping For Magen...,199.00,https://store.webkul.com/magento2-multivendor-fedex-shipping.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/marketplace-fedex-shipping_2.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
